,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Season,Seasonnum
0,A.C. Green,PF,22,LAL,82,1542,11.8,.564,.015,.430,12.4,15.5,14.0,4.2,1.5,1.7,17.7,14.7,1.4,2.0,3.3,.103,-1.6,0.1,-1.6,0.2,1985-1986,1.0
1,A.C. Green,PF,23,LAL,79,2240,15.7,.599,.009,.480,11.2,18.8,15.3,4.6,1.5,2.0,12.5,14.7,4.3,3.3,7.6,.163,0.9,0.1,1.0,1.7,1986-1987,2.0
2,A.C. Green,PF,24,LAL,82,2636,14.5,.581,.003,.592,11.1,19.1,15.3,4.5,1.6,1.0,12.9,14.7,4.5,3.4,7.9,.144,0.4,-0.1,0.3,1.5,1987-1988,3.0
3,A.C. Green,PF,25,LAL,82,2510,17.8,.594,.022,.474,12.3,20.0,16.4,5.5,1.8,1.2,11.5,17.0,5.8,3.5,9.4,.179,1.8,-0.2,1.6,2.3,1988-1989,4.0
4,A.C. Green,PF,26,LAL,82,2709,14.7,.548,.057,.459,11.5,18.4,15.1,4.6,1.2,1.1,10.7,17.1,4.4,3.3,7.7,.137,0.3,-0.9,-0.6,1.0,1989-1990,5.0
23,A.J. Price,PG,23,IND,56,865,14.0,.530,.492,.212,1.5,9.7,5.6,20.5,2.0,0.2,13.2,22.7,0.4,0.8,1.2,.065,-0.1,-0.4,-0.5,0.3,2009-2010,1.0
24,A.J. Price,PG,24,IND,50,795,10.7,.454,.466,.253,2.3,7.8,5.0,22.7,1.8,0.1,13.0,22.7,-0.4,0.7,0.3,.020,-1.9,-1.1,-2.9,-0.2,2010-2011,2.0
25,A.J. Price,PG,25,IND,44,568,11.5,.454,.506,.201,2.6,9.4,6.0,23.9,1.9,0.3,14.5,17.7,0.2,0.5,0.7,.063,-0.6,-0.5,-1.0,0.1,2011-2012,3.0
26,A.J. Price,PG,26,WAS,57,1278,12.4,.501,.484,.150,1.7,8.2,4.9,26.4,1.3,0.2,12.7,18.0,1.0,1.2,2.2,.084,-0.2,-0.4,-0.6,0.5,2012-2013,4.0
27,A.J. Price,SG,27,MIN,28,99,9.7,.469,.478,.043,1.1,10.2,5.5,21.5,0.5,0.0,13.0,23.2,-0.1,0.0,0.0,-0.012,-2.4,-2.4,-4.8,-0.1,2013-2014,5.0
31,Aaron Brooks,PG,23,HOU,51,608,13.1,.535,.484,.218,2.5,7.9,5.2,23.5,1.1,0.6,15.1,21.8,0.6,0.8,1.4,.112,-0.5,0.2,-0.2,0.3,2007-2008,1.0
32,Aaron Brooks,PG,24,HOU,80,1998,12.9,.521,.395,.220,2.0,7.0,4.6,20.2,1.2,0.3,12.7,22.9,1.4,2.2,3.6,.086,-0.3,-0.6,-0.9,0.6,2008-2009,2.0
33,Aaron Brooks,PG,25,HOU,82,2919,16.0,.549,.394,.224,2.0,6.6,4.2,25.6,1.2,0.3,13.7,25.7,3.9,1.6,5.5,.091,2.3,-1.6,0.7,1.9,2009-2010,3.0
34,Aaron Brooks,PG,26,TOT,59,1284,13.1,.489,.402,.239,1.8,5.2,3.5,28.9,1.3,0.2,13.2,25.9,0.7,0.4,1.1,.040,-0.3,-2.7,-3.0,-0.3,2010-2011,4.0
35,Aaron Brooks,PG,28,HOU,7,38,5.6,.385,.538,.000,3.0,3.0,3.0,23.1,1.3,6.0,23.5,19.6,-0.1,0.0,0.0,-0.063,-4.1,0.1,-4.0,0.0,2012-2013,5.0
41,Aaron Gordon,PF,19,ORL,47,797,11.4,.517,.231,.293,6.4,17.8,12.0,6.3,1.3,2.2,13.9,15.5,0.3,0.7,1.0,.060,-2.6,-0.1,-2.7,-0.2,2014-2015,1.0
42,Aaron Gordon,PF,20,ORL,78,1863,17.0,.541,.245,.333,9.0,21.3,15.1,10.3,1.6,2.4,9.0,17.3,3.2,2.2,5.4,.139,0.9,0.1,1.0,1.4,2015-2016,2.0
43,Aaron Gordon,SF,21,ORL,80,2298,14.5,.530,.309,.251,5.3,14.1,9.6,10.5,1.4,1.4,8.5,20.1,2.0,1.7,3.7,.077,-0.3,-0.7,-1.0,0.6,2016-2017,3.0
44,Aaron Gordon,PF,22,ORL,58,1909,16.5,.530,.395,.260,5.0,21.5,13.2,11.7,1.5,1.9,10.0,24.7,0.9,2.0,2.9,.072,0.9,-0.6,0.3,1.1,2017-2018,4.0
45,Aaron Gordon,PF,23,ORL,78,2633,15.1,.538,.332,.242,5.2,18.4,11.7,16.6,1.1,1.8,12.3,21.8,1.8,3.3,5.1,.093,0.3,0.3,0.6,1.7,2018-2019,5.0
49,Aaron Gray,C,23,CHI,61,613,13.9,.529,.005,.485,12.5,18.7,15.5,11.4,1.8,2.0,18.7,22.0,0.1,0.8,0.8,.066,-3.6,0.0,-3.5,-0.2,2007-2008,1.0
50,Aaron Gray,C,24,CHI,56,715,11.5,.508,.006,.353,13.5,21.7,17.6,9.6,1.0,1.8,17.2,14.5,0.5,0.8,1.3,.086,-3.2,-0.1,-3.4,-0.2,2008-2009,2.0
51,Aaron Gray,C,25,CHI,8,50,7.0,.374,.000,.333,11.3,24.1,17.8,6.5,0.0,0.0,4.0,22.5,-0.1,0.1,0.0,-0.013,-5.5,-3.2,-8.7,-0.1,2009-2010,3.0
52,Aaron Gray,C,26,NOH,41,531,11.0,.566,.000,.343,13.4,25.8,19.6,4.7,1.1,1.9,21.9,13.1,0.3,0.8,1.1,.100,-3.9,-0.2,-4.0,-0.3,2010-2011,4.0
53,Aaron Gray,C,27,TOR,49,813,11.1,.526,.000,.292,12.1,28.3,20.3,5.5,1.5,1.7,21.9,13.5,0.1,1.3,1.4,.082,-3.6,0.1,-3.5,-0.3,2011-2012,5.0
65,Aaron James,SF,22,NOJ,76,1731,14.4,.516,,.244,7.8,13.5,10.6,6.1,1.0,0.5,,,1.8,1.1,2.9,.080,-0.6,-1.6,-2.2,-0.1,1974-1975,1.0
66,Aaron James,SF,23,NOJ,75,1346,13.7,.495,,.343,6.8,11.6,9.2,6.8,1.1,0.2,,,1.0,1.2,2.2,.079,-1.1,-1.5,-2.6,-0.2,1975-1976,2.0
67,Aaron James,SF,24,NOJ,52,1059,14.4,.527,,.235,5.2,11.7,8.5,8.0,0.8,0.2,,,1.3,0.8,2.1,.095,-0.4,-1.3,-1.7,0.1,1976-1977,3.0
68,Aaron James,SF,25,NOJ,80,2118,13.3,.523,,.182,7.5,11.5,9.5,7.6,0.8,0.5,12.3,19.0,2.7,1.5,4.3,.096,-0.7,-1.0,-1.7,0.1,1977-1978,4.0
69,Aaron James,SF,26,NOJ,73,1417,12.7,.526,,.222,6.9,10.1,8.6,8.2,0.9,0.7,13.8,21.6,1.0,0.7,1.7,.057,-1.8,-1.7,-3.5,-0.5,1978-1979,5.0
70,Aaron McKie,SG,22,POR,45,827,13.3,.500,.107,.280,4.6,13.5,8.8,15.9,2.2,1.4,11.7,17.0,0.8,1.2,2.0,.115,-1.4,1.7,0.3,0.5,1994-1995,1.0
71,Aaron McKie,SG,23,POR,81,2259,13.4,.534,.162,.276,4.4,10.9,7.7,14.6,2.1,0.7,14.3,18.3,2.1,3.2,5.3,.113,-1.3,1.7,0.4,1.4,1995-1996,2.0
72,Aaron McKie,SG,24,TOT,83,1625,12.1,.524,.282,.301,3.1,13.2,8.3,15.4,2.6,1.1,17.9,14.7,1.0,2.4,3.5,.103,-1.1,2.0,0.9,1.2,1996-1997,3.0
73,Aaron McKie,SG-SF,25,TOT,81,1813,8.6,.410,.165,.144,3.7,11.2,7.4,15.0,3.0,0.5,15.8,12.0,-0.7,2.0,1.4,.036,-3.5,2.0,-1.5,0.2,1997-1998,4.0
74,Aaron McKie,SG,26,PHI,50,959,11.4,.454,.131,.262,3.2,14.0,8.5,17.9,3.6,0.2,17.7,15.2,-0.1,1.7,1.6,.082,-2.9,2.5,-0.4,0.4,1998-1999,5.0
88,Aaron Williams,PF,22,UTA,6,12,-7.0,.237,.000,.125,9.8,19.0,14.4,13.0,0.0,0.0,10.6,34.8,-0.1,0.0,-0.1,-0.327,-17.6,-6.3,-23.9,-0.1,1993-1994,1.0
89,Aaron Williams,PF,23,MIL,15,72,7.0,.410,.042,.500,8.1,24.1,15.9,0.0,1.4,6.2,19.3,22.3,-0.2,0.1,-0.1,-0.067,-8.7,-0.3,-9.0,-0.1,1994-1995,2.0
90,Aaron Williams,PF-C,25,TOT,33,563,16.4,.599,.007,.331,12.6,16.9,14.7,4.7,1.5,3.9,15.9,16.6,0.7,0.4,1.1,.098,-1.0,-0.6,-1.6,0.1,1996-1997,3.0
91,Aaron Williams,PF,26,SEA,65,757,13.4,.575,.005,.386,7.7,15.4,11.6,3.0,1.3,3.8,16.3,18.8,0.7,1.0,1.7,.105,-3.1,-0.2,-3.3,-0.2,1997-1998,4.0
92,Aaron Williams,PF,27,SEA,40,458,15.2,.508,.008,.602,13.4,18.9,16.1,7.8,1.6,3.9,16.2,18.4,0.6,0.4,1.1,.110,-1.7,0.1,-1.6,0.0,1998-1999,5.0
102,Abdel Nader,SF,24,BOS,48,522,5.1,.439,.436,.262,2.8,12.0,7.4,7.1,1.4,1.6,17.0,17.1,-0.9,0.8,-0.1,-0.014,-5.5,0.2,-5.3,-0.4,2017-2018,1.0
103,Abdel Nader,SF,25,OKC,61,694,8.8,.522,.465,.167,2.0,15.7,8.6,3.8,1.3,1.5,10.1,15.1,0.0,0.9,0.9,.062,-3.6,0.3,-3.2,-0.2,2018-2019,2.0
104,Abdel Nader,SF,26,OKC,55,867,11.3,.591,.487,.251,1.8,10.6,6.4,6.4,1.3,2.0,12.8,17.0,0.5,0.9,1.3,.074,-1.2,0.2,-1.0,0.2,2019-2020,3.0
105,Abdel Nader,SF,27,PHO,24,355,13.4,.605,.371,.319,2.3,17.3,9.9,7.3,1.4,2.3,12.6,19.0,0.3,0.4,0.7,.095,-1.0,1.0,0.0,0.2,2020-2021,4.0
106,Abdel Nader,SF,28,PHO,14,145,4.9,.431,.400,.286,3.0,16.6,10.0,5.9,2.7,2.5,21.8,15.0,-0.3,0.3,0.0,-0.009,-7.1,2.2,-5.0,-0.1,2021-2022,5.0
