name,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
AJ Lawson,26.0,61.7,35.7,27.389999999999997,4.04,8.940000000000001,0.4486,0.79,2.21,0.355,3.2700000000000005,6.720000000000001,0.479,0.4928,2.33,3.05,0.7312000000000001,0.5900000000000001,2.0100000000000002,2.6,5.59,1.08,0.1,1.94,1.54,11.22
Aamir Simms,24.0,4.0,0.0,6.3,1.0,2.5,0.4,0.3,0.3,1.0,0.8,2.3,0.333,0.45,0.5,1.3,0.4,0.8,0.3,1.0,1.3,0.5,0.0,1.5,0.5,2.8
Aaron Brooks,27.9375,51.8125,14.1875,19.2625,3.1125000000000003,7.6875,0.4033125,1.1125,3.15,0.3545,2.0,4.51875,0.4376875,0.4781875,1.2875,1.5,0.8333125,0.375,1.1375,1.5125,2.86875,0.5375,0.14375000000000002,1.45,1.78125,8.64375
Aaron Gordon,23.0,57.7,48.8,28.339999999999996,4.79,10.43,0.46130000000000004,1.1300000000000001,3.4200000000000004,0.3153,3.6700000000000004,7.01,0.5267000000000001,0.5119,2.0,2.92,0.6934,1.5699999999999998,4.529999999999999,6.11,2.6,0.71,0.65,1.57,1.95,12.72
Aaron Gray,26.363636363636363,35.18181818181818,8.454545454545455,10.572727272727272,1.1818181818181819,2.3636363636363638,0.5087272727272727,0.0,0.0,0.0,1.1818181818181819,2.3545454545454545,0.5105454545454545,0.5087272727272727,0.5,0.8818181818181817,0.56,1.2363636363636363,2.109090909090909,3.3636363636363638,0.6454545454545454,0.2545454545454545,0.22727272727272727,0.7545454545454546,1.9272727272727272,2.881818181818182
Aaron Harrison,22.0,11.666666666666666,1.0,11.233333333333334,0.7666666666666667,3.1333333333333333,0.17933333333333334,0.3666666666666667,1.9000000000000001,0.16966666666666666,0.4000000000000001,1.2333333333333334,0.20233333333333334,0.22766666666666668,0.6,0.9666666666666667,0.5606666666666666,0.20000000000000004,1.1,1.3333333333333333,0.6333333333333333,0.43333333333333335,0.06666666666666667,0.16666666666666666,1.3,2.6
Aaron Henry,25.0,28.0,0.0,5.3,1.1,2.4,0.463,0.1,0.4,0.4,1.0,2.0,0.474,0.493,0.4,0.6,0.706,0.3,0.4,0.7,0.1,0.2,0.0,0.3,0.4,2.8
Aaron Holiday,24.0,50.333333333333336,11.5,17.166666666666668,2.5500000000000003,5.916666666666667,0.4346666666666667,0.85,2.1666666666666665,0.397,1.7166666666666668,3.766666666666667,0.4595,0.5041666666666668,0.9333333333333332,1.1166666666666667,0.8515,0.2833333333333333,1.4833333333333334,1.8,2.433333333333333,0.6666666666666666,0.18333333333333335,1.0833333333333333,1.4333333333333333,6.8999999999999995
Aaron Jackson,31.0,1.0,0.0,35.0,3.0,9.0,0.333,1.0,4.0,0.25,2.0,5.0,0.4,0.389,1.0,2.0,0.5,2.0,1.0,3.0,1.0,0.0,0.0,1.0,4.0,8.0
Aaron McKie,27.176470588235293,56.294117647058826,19.41176470588235,21.86470588235294,2.388235294117647,5.529411764705882,0.4235294117647059,0.39999999999999997,1.1529411764705884,0.28400000000000003,1.9823529411764707,4.370588235294117,0.44764705882352945,0.4571176470588235,1.0058823529411764,1.2941176470588236,0.7471764705882353,0.5647058823529412,2.411764705882353,2.9823529411764707,2.335294117647059,1.035294117647059,0.19999999999999998,1.1764705882352942,1.8352941176470587,6.176470588235294
