,SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,name
0,2019-20,25.0,HOU,NBA,SG,4.0,0.0,3.0,0.3,1.0,0.25,0.3,0.5,0.5,0.0,0.5,0.0,0.375,0.0,0.0,,0.3,0.8,1.0,0.5,0.0,0.0,0.3,0.0,0.8,Michael Frazier II
0,1975-76,27.0,KEN,ABA,C,10.0,,9.8,1.9,4.1,0.463,0.0,0.0,,1.9,4.1,0.463,0.463,0.4,0.7,0.571,0.9,2.6,3.5,0.5,0.3,0.5,0.4,1.6,4.2,Jim McDaniels
0,1976-77,23.0,LAL,NBA,SG,11.0,,32.4,6.1,12.2,0.5,,,,6.1,12.2,0.5,0.5,1.5,2.2,0.667,1.5,3.5,4.9,2.5,1.4,0.8,,3.1,13.6,Earl Tatum
0,2015-16,19.0,MIA,NBA,SF,13.0,2.0,25.4,2.5,5.7,0.432,0.4,1.4,0.278,2.1,4.3,0.482,0.466,1.6,2.3,0.7,1.3,3.5,4.8,0.6,0.6,0.3,0.9,2.7,6.9,Justise Winslow
1,2017-18,21.0,MIA,NBA,PF,5.0,0.0,25.0,3.0,8.4,0.357,1.4,3.8,0.368,1.6,4.6,0.348,0.44,2.4,3.4,0.706,1.4,5.2,6.6,2.6,0.8,0.8,1.6,3.4,9.8,Justise Winslow
2,2020-21,24.0,MEM,NBA,SF,1.0,0.0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Justise Winslow
0,1981-82,23.0,ATL,NBA,SF,2.0,,15.0,2.0,4.0,0.5,0.0,0.5,0.0,2.0,3.5,0.571,0.5,3.0,3.0,1.0,1.5,0.0,1.5,0.5,0.0,0.0,1.0,3.0,7.0,Rudy Macklin
1,1982-83,24.0,ATL,NBA,SF,3.0,,26.0,3.7,8.0,0.458,0.0,0.0,,3.7,8.0,0.458,0.458,2.7,3.3,0.8,1.3,3.7,5.0,0.7,0.7,0.7,1.7,4.0,10.0,Rudy Macklin
0,1973-74,20.0,UTS,ABA,SF,15.0,,17.3,2.7,6.5,0.418,0.1,0.7,0.2,2.6,5.9,0.443,0.429,0.5,0.9,0.5,1.5,2.0,3.5,0.9,0.4,0.3,1.0,2.7,6.1,Bruce Seals
1,1974-75,21.0,UTS,ABA,SF,3.0,,13.7,3.0,4.7,0.643,0.0,0.0,,3.0,4.7,0.643,0.643,2.0,3.0,0.667,2.0,1.7,3.7,0.0,0.3,0.0,0.7,2.7,8.0,Bruce Seals
